id,name,latitude,longitude
1,sensor_1,-50.584441995625866,88.44146010164752
3,sensor_3,-54.16528059432366,93.6198743141753
6,sensor_6,-55.57414368576784,-117.33446644112291
9,sensor_9,-5.466483074512595,-58.40311989768526
11,sensor_11,10.420016227611967,-141.93731584717807
13,sensor_13,-50.77114769480764,-85.34402566860263
14,sensor_14,-12.250449863669715,-23.960834609271586
16,sensor_16,-72.01767989613376,135.48160927385777
17,sensor_17,-71.24636716734392,54.84062667207175
18,sensor_18,-16.77449879370026,162.14848394543668
19,sensor_19,-38.49232214401911,25.28961083764179
22,sensor_22,50.40479948979376,-95.91823081701966
23,sensor_23,25.68582295937719,144.2872523138277
26,sensor_26,-63.425185979456586,136.38915970143051
28,sensor_28,81.11525001826107,-172.35238754204704
32,sensor_32,55.587370406921465,-114.6254404718959
33,sensor_33,-13.558346366362969,11.88775213880183
34,sensor_34,3.812809780387653,-150.28206596198697
35,sensor_35,-66.38774250892826,-58.78455064555345
36,sensor_36,-42.21642498779423,63.22698594844235
38,sensor_38,-25.03215840933082,-58.23470689784463
40,sensor_40,60.4723233971494,-113.12477323355722
41,sensor_41,-7.191895251101897,116.53445244837941
46,sensor_46,-39.13416423113193,175.7733004392801
49,sensor_49,-12.480131475301945,-129.62446444554064
52,sensor_52,41.08049044647058,171.03219253511023
53,sensor_53,20.93741432583751,129.01108355972272
56,sensor_56,7.002586468617977,-146.5983409912434
59,sensor_59,-83.76538343935005,54.35766921689293
63,sensor_63,-49.74024463950701,19.31205355703787
66,sensor_66,44.70717980773754,105.53947609710139
68,sensor_68,-20.083962565307658,99.50762168120146
69,sensor_69,-6.057981869286806,-172.66631109800477
71,sensor_71,-44.724071887012485,56.76283626805328
72,sensor_72,7.953517101981731,58.391179584538875
75,sensor_75,-23.27272781419032,-74.58098609787976
79,sensor_79,-16.062581315625508,52.27196566954065
80,sensor_80,41.308467841908566,-9.627361023765957
82,sensor_82,-56.31869120407663,101.78881565558576
86,sensor_86,-6.002037606995771,-116.94176456491624
87,sensor_87,88.74072016911,42.93857923980795
91,sensor_91,-81.6412905126621,-68.19955482254909
94,sensor_94,-5.653241045430036,-102.36031737868598
96,sensor_96,87.01103257002903,145.25949386575093
97,sensor_97,50.91233303130707,139.7693894517115
98,sensor_98,65.64387568361965,7.8521922909993975
99,sensor_99,-87.61762095820475,-57.576843037062645
101,sensor_101,-22.46568930738404,145.35623746309864
102,sensor_102,43.51321436986423,-49.32879658363183
103,sensor_103,-35.72075734504793,-17.598356024729327
106,sensor_106,-40.33243371412752,13.158581129473646
107,sensor_107,57.31544885080485,153.90758570006068
113,sensor_113,69.46305805181719,76.06953711517903
114,sensor_114,-29.296633679901632,28.242368421811477
115,sensor_115,-60.4625057090968,110.15912576417013
116,sensor_116,10.228073656100264,88.63488187602469
117,sensor_117,-5.1971215433203355,-53.33334046245639
122,sensor_122,37.766370380881156,-168.18161794704184
123,sensor_123,1.3134791325101105,-155.80696997792535
124,sensor_124,-23.203814891625413,2.6823532130541423
126,sensor_126,2.4266367425165356,71.13796932518844
127,sensor_127,27.064122108544503,-121.26421154611222
130,sensor_130,52.46184726190745,128.23246044921203
133,sensor_133,89.4537204149758,39.99607552410117
135,sensor_135,-4.616677096915893,11.29794779519716
139,sensor_139,-48.39003447913336,-50.382727323357756
142,sensor_142,48.586064504248675,-67.86801713174432
143,sensor_143,82.00930260901904,-106.23904268541747
144,sensor_144,5.61045848280942,-42.504239256946136
146,sensor_146,75.33918658429496,131.9418665917301
147,sensor_147,-34.29219595757276,-50.23601082280115
148,sensor_148,-76.4235330775289,79.56476741211075
150,sensor_150,27.524389841071986,94.85348729517871
152,sensor_152,-68.7767339891335,-67.72293780912298
153,sensor_153,7.378269449286819,10.558549213759335
156,sensor_156,1.8188248354375958,34.924692617876275
157,sensor_157,49.265958632934016,107.88707326760034
161,sensor_161,-51.859339563934725,173.187970170526
165,sensor_165,83.16084849645567,-93.7722114071716
166,sensor_166,-1.174915496211554,13.481384932573917
167,sensor_167,-44.159810340673886,166.73551411883557
169,sensor_169,-83.97418998865973,-34.44794094984064
172,sensor_172,30.855837065387647,-64.59330996464709
173,sensor_173,35.96784274172512,-103.09429833447172
176,sensor_176,12.408325605062132,-131.98199732053075
